	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	NA	NA	NA	NA	NA	NA
MSTRG.22746	1269.12430435219	1.08892869455377	0.152970028184442	59.4931987212257	7.5424758981212e-13	5.04362267122062e-12	chr6	28419880	28443502	-	NA	NA
MSTRG.7141	199558.257640276	0.0588556814356849	0.116715891730946	59.4888516082264	7.55862040663588e-13	5.05300737736747e-12	chr12	120196698	120201235	-	NA	RPLP0
MSTRG.13713	1780.15087612242	0.953107856202164	0.12982609120982	59.4683381663523	7.63527144010877e-13	5.10282472522591e-12	chr19	4007735	4039386	+	NA	PIAS4
MSTRG.25114	2830.88428494219	0.35100097188595	0.185672363600953	59.4510908078973	7.70031921071163e-13	5.14486171371933e-12	chr7	151028421	151047782	+	NA	ABCB8
MSTRG.28253	53.4965743093177	-3.4421847181551	0.477837838915657	59.4313705623454	7.77537232850302e-13	5.19355832017666e-12	chrX	153669732	153689010	-	NA	PNCK
MSTRG.19832	11052.9348317876	-0.20506376664666	0.142438888071225	59.4014290549915	7.89072655863188e-13	5.26913938017287e-12	chr3	179562885	179588407	+	NA	ACTL6A
MSTRG.23587	3256.10952599551	-0.325464395925744	0.147530444782742	59.3979818351379	7.90411682125856e-13	5.2766094619977e-12	chr6	136557045	136793131	-	NA	NA
MSTRG.17270	2147.4238400987	0.341723978060416	0.111701867229927	59.3652887047595	8.03224334930122e-13	5.36064936572929e-12	chr20	45934682	45948023	+	NA	PCIF1
MSTRG.5773	212.317915536936	1.30250739128592	0.295456909532009	59.3240011308278	8.19702230208666e-13	5.46909713139502e-12	chr12	190076	214570	-	NA	SLC6A12
MSTRG.21615	14448.2506732911	0.604006354417931	0.107233736026185	59.3138122755497	8.23820317567156e-13	5.49504215166103e-12	chr5	75336328	75362101	+	NA	HMGCR
MSTRG.27189	23559.929280943	0.354722433315402	0.115900159832655	59.3059029190154	8.2703133744646e-13	5.51492408980588e-12	chr9	128552557	128633662	+	NA	SPTAN1
MSTRG.25236	60.2280809859285	-2.36060354466761	0.388133334085585	59.3029134637386	8.28248243463952e-13	5.52150123551999e-12	chr8	8317735	8386439	-	NA	PRAG1
ENSG00000179869.15	16.3485438951414	-3.95189481037903	1.02418268709931	59.3013505557095	8.28885162609664e-13	5.52420932475676e-12	chr7	48171457	48647497	+	NA	ABCA13
MSTRG.24260	849.356596147414	-0.649212762856102	0.119319792978479	59.2861217858553	8.35116899314841e-13	5.5641928967705e-12	chr7	45723779	45769013	-	NA	SEPTIN7P2
MSTRG.26640	152.117281367459	1.20784418256799	0.237211121405716	59.271955311172	8.4095596877001e-13	5.60153870046361e-12	chr9	62801533	62802699	-	NA	AL512625.3
MSTRG.10232	6154.48110539095	0.0627607170801127	0.0991862934772694	59.2524492554066	8.49062711014243e-13	5.65396431533567e-12	chr16	4846664	4882401	+	NA	UBN1
MSTRG.2616	4271.17039728433	0.308493316317359	0.118319292884229	59.2367077287572	8.55661823689109e-13	5.6963241673782e-12	chr1	185045525	185102603	+	NA	RNF2
MSTRG.10297	21059.3524465733	0.354193451770196	0.0981683761804656	59.2334925917869	8.57015954396456e-13	5.7037532084429e-12	chr16	11868127	11916082	-	NA	GSPT1
MSTRG.13715	895.715310183502	1.30281479215713	0.200613044758081	59.2286679874398	8.59051969684381e-13	5.71571505030903e-12	chr19	3750771	3761692	-	NA	APBA3
MSTRG.20088	1704.6296935906	-1.29325055432922	0.166596940123651	59.2099426686127	8.6700007677877e-13	5.76699551070678e-12	chr4	1793292	1808872	+	NA	FGFR3
MSTRG.16025	575.625075823514	1.00754143585986	0.143022764232191	59.1923185127931	8.74547914919067e-13	5.81558577357733e-12	chr2	143938067	144332568	-	NA	NA
MSTRG.19717	8401.60998066859	-0.109003535117534	0.11333659968168	59.1901417097935	8.75484712130556e-13	5.82019903294789e-12	chr3	160495006	160565571	-	NA	KPNA4
MSTRG.11207	33.9217581344454	3.01728081206497	0.688451158530266	59.1858795341483	8.77321864409621e-13	5.83079360675903e-12	chr16	83968631	84002776	+	NA	NECAB2
MSTRG.27006	101.136492030121	-1.72209727366218	0.251798921700899	59.1842486137908	8.78025869052066e-13	5.83385334637091e-12	chr9	113113041	113119928	+	NA	FAM225A
MSTRG.6944	948.267073891187	-0.48098118370018	0.136329690825912	59.1745213023972	8.82236511428378e-13	5.85980209599024e-12	chr12	103940762	103965708	-	NA	C12orf73
MSTRG.6440	2271.79825165071	0.54733293324717	0.10913679461077	59.1740968283576	8.82420711523461e-13	5.85980209599024e-12	chr12	53985064	54056030	+	NA	HOXC10
MSTRG.9049	3490.71908462711	-0.301018673657867	0.140021694377757	59.1687689527074	8.84736009636006e-13	5.8735482358591e-12	chr15	41895932	41972557	-	NA	EHD4
MSTRG.18182	870.753834448488	0.259053607287216	0.152254783624827	59.1677819244671	8.8516560179011e-13	5.8747714801735e-12	chr22	38056310	38075701	+	NA	PICK1
MSTRG.2789	2226.59492067461	0.354532201558156	0.107287017050992	59.1582868477704	8.89308883603867e-13	5.90063467076149e-12	chr1	206684904	206734281	+	NA	MAPKAPK2
MSTRG.20507	6.69437160960702	6.114061416969	1.4349620034757	59.1045719808318	9.13115606420763e-13	6.05691587572066e-12	chr4	77151250	77151466	-	NA	NA
MSTRG.21433	263.023900592421	1.69979788522128	0.256382974261729	59.0928450314647	9.18397178559003e-13	6.09026276316086e-12	chr5	56359500	56383238	+	NA	NA
MSTRG.10707	504.327152243965	-0.600802034201474	0.133891439944407	59.0901687675926	9.19606784396908e-13	6.09659580818615e-12	chr16	46622860	46626992	-	NA	NA
ENSG00000260920.2	33.3984279677657	-1.48947241677855	0.504010710709363	59.0808373581085	9.23836821652833e-13	6.12294396105695e-12	chr1	40464318	40466767	+	NA	AL031985.3
ENSG00000280193.1	54.0635070533232	-0.974464204053493	0.379542768068429	59.0748677203657	9.26553122499758e-13	6.13924766778616e-12	chr8	81696367	81698694	+	NA	AC132219.2
MSTRG.13727	2906.3148796301	0.639504203117488	0.120812940668981	59.0626308745326	9.32146101129671e-13	6.17459765910127e-12	chr19	4324042	4342786	-	NA	STAP2
MSTRG.753	12159.8979355617	-0.280587540030974	0.0952262446298204	59.0416467573299	9.41815767564143e-13	6.23692488110923e-12	chr1	16352574	16398145	+	NA	SZRD1
MSTRG.1009	29712.4874657454	0.429366540066308	0.0992053647611911	59.0348490089042	9.44969678662162e-13	6.25608070921873e-12	chr1	31906420	31944856	-	NA	PTP4A2
MSTRG.3078	8242.13523570986	-0.677800860095854	0.0958872696872827	59.0297374684309	9.47348200851854e-13	6.27009397943574e-12	chr1	244375099	244451909	-	NA	AL645465.1
MSTRG.23296	49.1858194861728	-1.47799018305203	0.367376333819608	59.0086198106736	9.57238343084477e-13	6.33380197941444e-12	chr6	93416950	93677954	+	NA	AL591519.1
MSTRG.4447	3778.73788009415	0.582842017750013	0.19858563469075	59.0014142853117	9.60636502584938e-13	6.35453085383948e-12	chr11	5596108	5644453	+	NA	TRIM6
MSTRG.17282	208.328059344522	1.01409862613602	0.256398029857096	58.9865734697497	9.67673537277874e-13	6.39931248927257e-12	chr20	46021689	46060150	+	NA	SLC12A5
MSTRG.20747	2847.69542520639	-0.677664631201437	0.0967002758683901	58.9730674312416	9.7412243199561e-13	6.44018104819626e-12	chr4	113900283	113979727	-	NA	NA
MSTRG.25017	41.2335610927513	3.72305489005622	0.511673498166464	58.968060418136	9.76524090698494e-13	6.45427708414743e-12	chr7	141776673	141781691	+	NA	TAS2R4
MSTRG.8376	1289.81670559759	0.508302142800559	0.108913357199844	58.9613364610595	9.79758609328667e-13	6.47386855932237e-12	chr14	66012829	66013789	-	NA	YBX1P1
MSTRG.17311	4992.0238049755	0.494006001195618	0.0927308486517293	58.9430034606795	9.88632088299377e-13	6.53069903073569e-12	chr20	49936335	49953885	+	NA	RNF114
MSTRG.2379	12576.8619302366	-0.173740580044439	0.111701127446961	58.9362497704812	9.91921193678278e-13	6.55061911302263e-12	chr1	161314380	161363206	+	NA	SDHC
ENSG00000142677.4	168.630814514358	-0.361887275479281	0.198887802533281	58.9192569037532	1.00024532394378e-12	6.60255334627291e-12	chr1	24119770	24143140	-	NA	IL22RA1
MSTRG.26789	4290.7554223599	-0.634843861662098	0.116924734731321	58.9190710758476	1.00033673850656e-12	6.60255334627291e-12	chr9	92711362	92764833	-	NA	BICD2
ENSG00000120327.6	24.5795307390004	-2.88004915818913	0.936716183661651	58.9097012085699	1.00495691072099e-12	6.63122022158304e-12	chr5	141222931	141227759	+	NA	PCDHB14
MSTRG.17332	157.494727599957	-1.51615515522079	0.264167170010014	58.9032217703995	1.00816431334601e-12	6.65055169349407e-12	chr20	50586107	50691542	-	NA	RIPOR3
MSTRG.2668	1963.62105373889	-0.512697964048862	0.121693481052922	58.8646901222806	1.02745039749528e-12	6.77590945150704e-12	chr1	193090865	193106114	-	NA	GLRX2
MSTRG.16589	2018.44114531688	0.977173072652472	0.145443107927556	58.8199501323416	1.05030702339848e-12	6.92398579857477e-12	chr2	218637915	218659655	-	NA	NA
MSTRG.12205	10124.5722282142	0.699402033565997	0.12088732249176	58.8196115229449	1.05048193461213e-12	6.92398579857477e-12	chr17	42536240	42566277	+	NA	NAGLU
MSTRG.4337	3881.10522186998	-0.39928514829238	0.151572373788689	58.8063015697292	1.05738040220593e-12	6.96753745493208e-12	chr11	767219	777488	-	NA	GATD1
MSTRG.10515	2314.95206223062	0.355564590423008	0.10579215289939	58.7987613297954	1.06130853377717e-12	6.99149770284129e-12	chr16	27550132	27780369	+	NA	KIAA0556
MSTRG.24717	1443.12121818909	-1.40278494697932	0.479472290681489	58.7976882277823	1.06186875673733e-12	6.99326436986583e-12	chr7	104893496	104926714	-	NA	NA
ENSG00000116141.16	6.35579359057524	-0.114639006900208	1.89251587275133	58.7897075176005	1.06604444427676e-12	7.01883427623079e-12	chr1	220528135	220664461	+	NA	MARK1
MSTRG.12229	372.689391433273	1.64159502469602	0.222447333859023	58.7853326384416	1.06834043957183e-12	7.0320176377095e-12	chr17	42780609	42797066	+	NA	WNK4
MSTRG.11577	5453.43024112398	-0.359718343992129	0.0981713542849504	58.7827766466897	1.0696841448836e-12	7.03892732437008e-12	chr17	8204732	8210600	-	NA	AURKB
MSTRG.18549	2470.00243913843	-0.760656548369244	0.170229842422633	58.7656104880711	1.07875240233646e-12	7.09476742563697e-12	chr3	16313573	16514026	-	NA	RFTN1
ENSG00000272094.1	25.4109775806426	-0.916761923306421	0.396114343297194	58.7655913457689	1.0787625572849e-12	7.09476742563697e-12	chr1	90860549	90862920	-	NA	AC091614.1
MSTRG.16941	1007.84421921993	-1.17754485742407	0.192448203684797	58.7509310681137	1.08656792493136e-12	7.14413935486173e-12	chr20	13785006	13821580	+	NA	NDUFAF5
MSTRG.14889	776.819693277328	0.114368172706994	0.168919316716565	58.7480927549157	1.08808559765995e-12	7.15112287521649e-12	chr19	58404237	58408484	-	NA	AC012313.1
MSTRG.23818	2915.45838021596	0.180712277900554	0.100404969636544	58.7478278838839	1.0882273347235e-12	7.15112287521649e-12	chr6	160991726	161117385	+	NA	MAP3K4
MSTRG.25981	2109.27984065318	-1.39168028091736	0.28355402194122	58.7398496902535	1.09250526362563e-12	7.1772650323126e-12	chr8	103371537	103382989	+	NA	CTHRC1
MSTRG.14288	2769.12253942638	-0.423133386384466	0.166665643047524	58.7367866053308	1.09415215962319e-12	7.1861128947715e-12	chr19	27681071	27794005	-	NA	LINC00662
MSTRG.916	589.204873416199	-0.163618622094907	0.192158255197182	58.7346392821917	1.09530816698878e-12	7.19173275753037e-12	chr1	27200833	27201473	-	NA	CHCHD3P3
MSTRG.13743	4019.42647484761	1.61499688199287	0.207931746423581	58.7335678184185	1.09588544391527e-12	7.19355066885833e-12	chr19	4542515	4581572	-	NA	NA
MSTRG.16896	1359.58709551613	-1.02153270245984	0.140337607194947	58.7148472201301	1.10602082922137e-12	7.25809119663877e-12	chr20	5544438	5611031	-	NA	NA
ENSG00000064201.16	104.442529764567	1.61446621431019	0.322099681627475	58.7070739131182	1.11025679695047e-12	7.28389294788384e-12	chr11	2301996	2318204	+	NA	TSPAN32
MSTRG.2720	472.960491818825	0.00524361052036144	0.199736128973156	58.691817744557	1.11861765508576e-12	7.33673469424366e-12	chr1	202348698	202592706	+	NA	PPP1R12B
MSTRG.14180	2574.96377338824	-0.740746374575962	0.137312869833313	58.6808824299662	1.12464923958918e-12	7.37427455947496e-12	chr19	21082158	21126700	+	NA	ZNF714
MSTRG.26934	31.011743046961	-0.994015764724541	0.468006648241043	58.6575172124848	1.13764592153063e-12	7.45745120092318e-12	chr9	104764128	104777764	+	NA	NIPSNAP3B
MSTRG.28218	939.403035396384	-0.772109122422424	0.113217959172189	58.6466809804373	1.14372431990756e-12	7.4952442705272e-12	chrX	149596555	149631912	-	NA	TMEM185A
MSTRG.777	5683.40540489427	-1.08431560857769	0.204025845519002	58.5798383335222	1.18194281141833e-12	7.74358483234562e-12	chr1	19251804	19260128	+	NA	MRTO4
MSTRG.7917	2807.155544364	-0.699257297174317	0.141573411618388	58.5730652241248	1.18588597685605e-12	7.76729365475791e-12	chr14	21498132	21511342	-	NA	METTL3
MSTRG.20889	2443.59976766705	0.762412830715313	0.115114844708474	58.5685091053053	1.1885458498208e-12	7.78258652442136e-12	chr4	143184916	143223874	+	NA	USP38
MSTRG.25122	10220.6395360084	0.140170587642698	0.0772992270369822	58.5548515692291	1.19655493091532e-12	7.83288801960039e-12	chr7	151466011	151520120	-	NA	RHEB
MSTRG.26518	1919.29276849577	-0.685435149863281	0.147262433843434	58.5102432922658	1.2230919256704e-12	8.00441630284325e-12	chr9	34329505	34343711	+	NA	NUDT2
MSTRG.9732	1945.07282889779	0.751472211459	0.159370449921223	58.5090365963186	1.22381788912074e-12	8.00697900898504e-12	chr15	82808259	82836301	+	NA	NA
MSTRG.25699	1166.46071982684	1.08312870077373	0.277778856879674	58.5012516929858	1.22851174714274e-12	8.03549366213602e-12	chr8	71828166	72118393	+	NA	MSC-AS1
MSTRG.1762	7186.91225474904	-0.745571415103604	0.134435735828633	58.4699669012671	1.24755685444617e-12	8.15783627432221e-12	chr1	100186918	100249834	-	NA	DBT
MSTRG.26471	2558.20731345027	1.16130183452272	0.193699068840917	58.4534397130471	1.25773686878621e-12	8.22156091795817e-12	chr9	32455301	32526208	-	NA	DDX58
ENSG00000146021.15	318.907008148716	1.65590353936753	0.308205729969024	58.4530324422458	1.25798877488510e-12	8.22156091795817e-12	chr5	137617499	137736089	-	NA	KLHL3
MSTRG.28272	2452.76744053943	-1.10210907880757	0.151316662338928	58.4394507776843	1.26641827957348e-12	8.27439348503863e-12	chrX	153861513	153935080	-	NA	L1CAM
MSTRG.15102	9898.65381006163	0.234370808029101	0.0756769818065872	58.4202784085648	1.27841385283276e-12	8.35049048552463e-12	chr2	27427789	27442259	+	NA	NRBP1
MSTRG.18133	19657.395563684	-0.355992646517697	0.131284144562966	58.4191926876345	1.27909654305549e-12	8.35267134442505e-12	chr22	36253070	36267530	+	NA	APOL1
MSTRG.19650	27.9015094003926	2.53291289327771	0.566301133788384	58.412437270326	1.28335247443307e-12	8.37817839497662e-12	chr3	150039101	150213726	+	NA	NA
ENSG00000133665.13	54.425930994904	-1.93224367164266	0.400200995166022	58.4073139353149	1.28658962384306e-12	8.39702238553993e-12	chr10	80344744	80368073	+	NA	DYDC2
MSTRG.13799	1132.34540239368	0.979844339267578	0.140932912759237	58.3986893592441	1.29205745456774e-12	8.43041084661554e-12	chr19	5993163	6199572	-	NA	RFX2
MSTRG.25342	5167.11805296682	-0.713832593543453	0.14198512025784	58.3884729855309	1.29856451450469e-12	8.47056002841983e-12	chr8	18055991	18084998	-	NA	ASAH1
MSTRG.18336	5778.45850773507	0.5897238748613	0.105355955521754	58.3865185513842	1.2998130688098e-12	8.47632993114647e-12	chr22	45189940	45240769	-	NA	NA
MSTRG.11371	437.690733460247	-0.870613449083482	0.166714231271227	58.385980485057	1.30015701315881e-12	8.47632993114647e-12	chr17	799309	979776	-	NA	NXN
MSTRG.6002	6603.64165154152	-0.247729477035322	0.0801523322683517	58.3622146261903	1.31543977723956e-12	8.57363116651567e-12	chr12	14784581	14803486	-	NA	WBP11
ENSG00000259039.3	44.7378078497556	-1.75490138668211	0.383781194079659	58.3614601195656	1.3159278961591e-12	8.57447874868731e-12	chr14	57578408	57600404	+	NA	AL161804.1
MSTRG.23786	665.252861490628	0.966204016138658	0.178913011012724	58.358509778902	1.31783832181052e-12	8.58459098315414e-12	chr6	158109518	158168280	-	NA	SERAC1
MSTRG.4870	338.667379693429	-0.249132156140477	0.148306062205547	58.3539879548763	1.32077170677964e-12	8.60135961124431e-12	chr11	62337447	62393412	+	NA	ASRGL1
MSTRG.22239	16463.1134369566	-0.520058781051677	0.0851261619274622	58.3304678688762	1.33613516805133e-12	8.69904642037989e-12	chr5	154038905	154420984	+	NA	MFAP3
ENSG00000130940.15	369.961957966626	0.855003041909736	0.205932226908026	58.3155236830634	1.3459894638629e-12	8.7608218813974e-12	chr1	10636603	10796650	-	NA	CASZ1
MSTRG.15392	1691.20976929384	-0.268443618953513	0.109260782704859	58.3101572825849	1.34954580117913e-12	8.78158254212919e-12	chr2	62196114	62224731	+	NA	B3GNT2
MSTRG.16873	14422.7596494592	0.0602474061780923	0.0866789184673844	58.2584557890385	1.38429335935696e-12	9.00524009322516e-12	chr20	3846798	3876123	+	NA	MAVS
MSTRG.1831	576.810288772553	0.450834843320226	0.128453842228752	58.2546184362304	1.38690773441683e-12	9.01979701475978e-12	chr1	109483478	109492804	+	NA	ATXN7L2
MSTRG.3067	1248.0347183755	-1.01049420022019	0.265421513245713	58.2195823749489	1.41100706069768e-12	9.17403613235587e-12	chr1	241532133	241595642	+	NA	KMO
MSTRG.1650	86.518836995469	0.498618311784924	0.347753037725634	58.1977493624063	1.42623595742853e-12	9.27053372328547e-12	chr1	87805285	87808372	-	NA	AL445437.1
MSTRG.14003	2508.77448749049	0.00320145309957377	0.128491838254941	58.1954331723002	1.42786114629571e-12	9.27857883560297e-12	chr19	13144057	13150383	-	NA	NA
MSTRG.26935	14448.2934368069	-0.727005072913952	0.131018946083205	58.1851995132026	1.43506392686047e-12	9.32285425735233e-12	chr9	104094259	104144229	+	NA	SMC2
MSTRG.11435	4943.58520831795	-0.139521239347273	0.112034602545965	58.1578796651658	1.45447088905923e-12	9.44636829655884e-12	chr17	3802157	3846246	-	NA	NCBP3
MSTRG.25083	1604.78837053544	0.301326171227057	0.113008128937466	58.1520168362775	1.45866967961331e-12	9.47106945445239e-12	chr7	149126415	149183042	+	NA	ZNF398
ENSG00000214960.11	202.179418427608	-1.44853524230302	0.223972624974457	58.1494989872843	1.46047660751218e-12	9.48023118554802e-12	chr7	16087524	16502504	-	NA	CRPPA
MSTRG.18334	2420.80195191382	0.920652739788222	0.127247037423378	58.1340596609049	1.47160562051476e-12	9.54988297800719e-12	chr22	44668546	44862788	+	NA	PRR5
MSTRG.3168	1174.44801432133	-0.635373994172047	0.117666142728381	58.1271869767632	1.47658682853113e-12	9.57961208236422e-12	chr10	5638866	5666595	-	NA	ASB13
ENSG00000076864.19	84.9307491291399	3.70111446472711	0.828284791447861	58.1204397244998	1.48149351784e-12	9.60884176007495e-12	chr1	21596214	21669363	-	NA	RAP1GAP
MSTRG.21401	1584.83286093329	0.354708864545451	0.133147863166888	58.1083707649152	1.49031090022214e-12	9.66341316455981e-12	chr5	50665898	50846519	+	NA	PARP8
MSTRG.10539	11540.957038549	0.00747194039686552	0.116416538782596	58.0955981878413	1.49969946420645e-12	9.72165765292031e-12	chr16	29790718	29805384	+	NA	KIF22
MSTRG.16993	4456.78560535303	0.0267434802034679	0.106570911726415	58.0775331597223	1.51307929158398e-12	9.80573659438974e-12	chr20	18507519	18561415	+	NA	SEC23B
MSTRG.27002	21347.2853979226	-0.865476290527079	0.11430682103786	58.0715634864792	1.51752689201975e-12	9.83189906826435e-12	chr9	112380079	112484853	+	NA	HSDL2
MSTRG.19949	1258.24613113755	-1.12195386358936	0.17480413220632	58.0436473548043	1.53849935484946e-12	9.96508129597653e-12	chr3	192796814	192917856	-	NA	MB21D2
MSTRG.23948	767.689830294594	-0.863548338960489	0.143055298494523	58.0293839961952	1.54932650520027e-12	1.00324966180437e-11	chr7	5898724	5926550	+	NA	CCZ1
MSTRG.725	3499.0269069171	-0.611259421155832	0.121616050024107	58.0221681605395	1.55483293650951e-12	1.00654310618158e-11	chr1	15617457	15669044	+	NA	DDI2
MSTRG.4273	851.729967170313	1.2456398098695	0.181769359703494	58.0144278479167	1.56076134314954e-12	1.01010786819078e-11	chr10	127907060	128085855	+	NA	PTPRE
MSTRG.8267	2892.18297475076	0.305568883612544	0.106803914955552	58.013329305559	1.56160455977188e-12	1.01038051305856e-11	chr14	55271420	55361918	+	NA	NA
MSTRG.9235	467.884641996253	0.915685684377263	0.178224480223378	58.0025896128531	1.56987212955057e-12	1.01545537585678e-11	chr15	50348935	50354861	-	NA	GABPB1-IT1
MSTRG.20570	938.84250721158	0.0168274019534615	0.199860593085201	57.9937461606441	1.5767127775124e-12	1.01960475750235e-11	chr4	84965533	85011277	+	NA	WDFY3-AS2
MSTRG.11950	3137.70119985395	-0.458569840575389	0.121291801480595	57.9925192905648	1.57766414469581e-12	1.01994453587705e-11	chr17	29573474	29594054	-	NA	GIT1
MSTRG.1220	136.470051682222	1.99201797671736	0.262928888108977	57.9824732340939	1.58547589723602e-12	1.0247181062136e-11	chr1	43944369	43946551	-	NA	AL357079.3
MSTRG.15790	9673.60098056372	-0.0724312987185368	0.107257163971407	57.9760145488338	1.5905185353207e-12	1.02769986094953e-11	chr2	108719481	108785809	+	NA	RANBP2
MSTRG.14356	2665.64986866885	0.42009396789094	0.120825706377131	57.9650049900545	1.59915125852792e-12	1.03299908380657e-11	chr19	36510686	36528271	-	NA	ZNF260
MSTRG.1768	4907.07559033513	-0.696069637001825	0.132314840891294	57.960279971368	1.60287054721377e-12	1.03512238736734e-11	chr1	100266215	100292769	+	NA	NA
ENSG00000088543.15	31.2805324374011	0.915732625179309	0.468839650212462	57.9581325996361	1.60456370253477e-12	1.03593643626038e-11	chr3	50558024	50571027	-	NA	C3orf18
MSTRG.13078	11062.3821052904	0.508159837003328	0.0934043310748793	57.951046407024	1.61016370146211e-12	1.03927169798414e-11	chr18	158382	214629	+	NA	USP14
ENSG00000253910.2	18.9104506204233	-4.3339319725119	1.13777390357686	57.9325744207417	1.6248535364165e-12	1.0484705681226e-11	chr5	141360041	141512979	+	NA	PCDHGB2
MSTRG.5869	2887.01791206483	0.0828212609400085	0.0907588747020718	57.9305396322379	1.62647986834193e-12	1.04923725558502e-11	chr12	6666476	6689572	-	NA	ZNF384
MSTRG.26942	1331.06058671305	-0.968320153192441	0.177507195331402	57.9217113381715	1.63355486288536e-12	1.05351749923654e-11	chr9	105447795	105552433	+	NA	FSD1L
MSTRG.18110	1290.05070696501	1.21168361684222	0.177105849693402	57.9186106344441	1.63604705837464e-12	1.05484068012491e-11	chr22	33162225	33922841	-	NA	LARGE1
MSTRG.3068	13574.4698775269	-0.546526518557932	0.0997356944180895	57.9132350014985	1.64037673979701e-12	1.0573475480802e-11	chr1	241590101	241677376	-	NA	OPN3
ENSG00000167562.13	6.16059031953316	-0.114639945705965	1.86838955137331	57.9023685572246	1.64916387264174e-12	1.06272546001828e-11	chr19	52555456	52587174	+	NA	ZNF701
MSTRG.4080	167.265539240628	0.0562455731519225	0.198985478502335	57.8775552309935	1.66940589346587e-12	1.07548005178729e-11	chr10	103446785	103452402	-	NA	CALHM2
MSTRG.4348	2460.29122392816	-1.23398618113196	0.238180848397494	57.8291029287704	1.70965054035544e-12	1.10111059277438e-11	chr11	790474	798281	-	NA	SLC25A22
MSTRG.10910	4248.0676746196	1.06762905777933	0.166934713962013	57.8166765144669	1.7201272642407e-12	1.10756029764743e-11	chr16	66921678	66925536	-	NA	RRAD
MSTRG.15123	40.7070127257917	4.12611781404341	0.583609064152458	57.8047272623302	1.73026220286271e-12	1.11378652445566e-11	chr2	27282428	27307439	+	NA	TRIM54
ENSG00000105550.10	19.3849112372851	0.375239636272874	0.958162241263696	57.8000702939381	1.73422822347189e-12	1.11603947968981e-11	chr19	48755523	48758333	+	NA	FGF21
MSTRG.1581	29019.5269304415	-0.824252052214631	0.16903300819356	57.7743207007412	1.75632195525133e-12	1.12995393714262e-11	chr1	75724346	75795738	+	NA	ACADM
MSTRG.12483	51239.9006581006	-0.695606803786987	0.18678954333125	57.7683624154559	1.76147424543869e-12	1.13296433739659e-11	chr17	51153558	51171744	+	NA	NME1
MSTRG.26128	635.333027898351	0.462162270628094	0.146983499362946	57.7480395981325	1.77916183371485e-12	1.14403354645907e-11	chr8	134792019	134798272	-	NA	AC083843.2
MSTRG.14556	598.002983807316	-0.316956246824953	0.29062429843793	57.7435409297612	1.78310109933514e-12	1.14625876307864e-11	chr19	45001448	45038198	+	NA	RELB
MSTRG.8748	159.997757664761	1.62687695378621	0.250997416503591	57.7186867500928	1.80502233732935e-12	1.16003931534322e-11	chr14	101948346	101949425	+	NA	AL118558.3
MSTRG.17751	53.0292791584784	-0.864969107450533	0.348660692671424	57.7150125623898	1.80828572083288e-12	1.16182478859845e-11	chr21	44331233	44335851	+	NA	AP001062.1
MSTRG.826	9117.84973885208	-0.222323498854226	0.0830198169313858	57.7129029339729	1.81016213970078e-12	1.16271841730888e-11	chr1	23019442	23083689	+	NA	KDM1A
MSTRG.19242	2122.0393022563	-0.556733669042516	0.152153521020493	57.7085153227944	1.81407095571534e-12	1.16491668290586e-11	chr3	112596796	112649530	-	NA	CCDC80
MSTRG.16894	6268.34378083938	-0.606641305117949	0.108831717114996	57.650047363652	1.86697100067789e-12	1.1985653507301e-11	chr20	5126878	5197887	+	NA	CDS2
MSTRG.19688	6604.52063552169	0.634620144986832	0.0907654225410384	57.6477409784437	1.86908906483285e-12	1.19960350432826e-11	chr3	157146507	157160760	-	NA	CCNL1
MSTRG.27785	1865.35673246169	-0.22236427788351	0.0931776930802278	57.6279420724849	1.88737042742673e-12	1.21101211830548e-11	chrX	63222992	63561095	-	NA	LINC01278
MSTRG.2780	246.378956184462	1.67235283472045	0.369101177285583	57.6017570902459	1.9118231338871e-12	1.22630370603907e-11	chr1	205976739	206003461	-	NA	RAB7B
MSTRG.25550	668.045869242861	0.467407929276681	0.124176468560262	57.6013277558044	1.91222669270437e-12	1.22630370603907e-11	chr8	42836673	42843325	-	NA	THAP1
MSTRG.21017	1753.5851877644	0.0462057174514873	0.157707017983398	57.5403073801073	1.97045822277334e-12	1.2633090388897e-11	chr4	158124473	158173318	-	NA	GASK1B
MSTRG.18890	1649.06578145632	0.864384552400974	0.144104400789808	57.5211585875772	1.989094667968e-12	1.27491597749362e-11	chr3	49805208	49813953	-	NA	UBA7
MSTRG.26145	4296.61555677341	-0.200882750136513	0.0873781494718988	57.5157190800074	1.99442069086051e-12	1.2779876334853e-11	chr8	140511310	140517154	+	NA	CHRAC1
MSTRG.18102	4785.06553033888	0.095131227640674	0.145426474832277	57.4810096976467	2.02874317946555e-12	1.29963307050514e-11	chr22	31618490	31662432	-	NA	PISD
MSTRG.2781	363.262167981579	-0.0223650830442963	0.157436709927557	57.4683074481658	2.04145085375e-12	1.30730271726863e-11	chr1	205504594	205532793	+	NA	CDK18
MSTRG.3009	2044.82405417946	0.794659652342181	0.182185088237484	57.4679521272487	2.04180746787968e-12	1.30730271726863e-11	chr1	228208062	228378876	+	NA	OBSCN
MSTRG.12464	4190.47057026587	-1.05305665962508	0.155992314019113	57.4617223849092	2.04807000839591e-12	1.31096189310475e-11	chr17	50367856	50373207	-	NA	MRPL27
